ad,tur,sehir,website,logo,adres
İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Vakıf,İstanbul,https://www.iku.edu.tr,assets/img/logo/115022.png,"Ataköy Yerleşkesi, 34156 Bakırköy / İSTANBUL"
İSTANBUL MEDENİYET ÜNİVERSİTESİ,Devlet,İstanbul,http://www.medeniyet.edu.tr,assets/img/logo/173496.png,"Dumlupınar mahallesi, D-100 Karayolu No:98  Kadıköy / İstanbul"
İSTANBUL MEDİPOL ÜNİVERSİTESİ,Vakıf,İstanbul,https://www.medipol.edu.tr,assets/img/logo/163888.png,"Kavacık Mah.Ekinciler Cad.No:19, 34840 Beykoz-İstanbul"
İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,Vakıf,İstanbul,http://www.nisantasi.edu.tr,assets/img/logo/447904.png,"Maslak Mahallesi, Taşyoncası Sokak,
No: 1V ve No:1Y Bina Kodu: 34481742
Sarıyer/İstanbul"
İSTANBUL OKAN ÜNİVERSİTESİ,Vakıf,İstanbul,https://www.okan.edu.tr,assets/img/logo/360777.png,"Okan Üniversitesi Tuzla Kampüsü, 34959 Akfırat - Tuzla / İSTANBUL"
İSTANBUL RUMELİ ÜNİVERSİTESİ,Vakıf,İstanbul,https://www.rumeli.edu.tr,assets/img/logo/274886.png,"Yeni Mahalle Mah. Mehmet Silivrili Cad. No: 38/8 Posta Kodu 34570
SİLİVRİ-İSTANBUL"
İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Vakıf,İstanbul,http://www.izu.edu.tr/,assets/img/logo/163898.png,Halkalı Cad. No: 281 Halkalı - Küçükçekmece / İSTANBUL Posta Kodu: 34303
İSTANBUL SAĞLIK VE SOSYAL BİLİMLER MESLEK YÜKSEKOKULU,Vakıf,İstanbul,https://www.issb.edu.tr,assets/img/logo/432690.png,Cankurtaran Mahallesi Kennedy Caddesi No:2 Ahırkapı Feneri Yanı Fatih İSTANBUL
İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,Vakıf,İstanbul,https://www.istun.edu.tr,assets/img/logo/410560.png,"Sütlüce Kampüsü
Sütlüce Mah. İmrahor Cad. No: 82
Beyoğlu – İstanbul"
İSTANBUL ŞİŞLİ MESLEK YÜKSEKOKULU,Vakıf,İstanbul,https://www.sisli.edu.tr,assets/img/logo/220121.png,Maslak Mah. Atatürk Oto Sanayi Sitesi 55. Sok. No:2 Sarıyer/ İSTANBUL
İSTANBUL TEKNİK ÜNİVERSİTESİ,Devlet,İstanbul,http://www.itu.edu.tr,assets/img/logo/115069.png,İTÜ Ayazağa Yerleşkesi yeni Rektörlük Binası Kat:2 MASLAK-SARIYER-İSTANBUL
İSTANBUL TİCARET ÜNİVERSİTESİ,Vakıf,İstanbul,http://www.ticaret.edu.tr,assets/img/logo/115335.png,"Örnektepe Mahallesi, İmrahor Caddesi No: 88/2 34445 Beyoğlu / İSTANBUL"
İSTANBUL TOPKAPI ÜNİVERSİTESİ,Vakıf,İstanbul,https://www.topkapi.edu.tr,assets/img/logo/440213.png,Prof.Muammer Aksoy Cd. No: 10 Kazlıçeşme / İSTANBUL
İSTANBUL ÜNİVERSİTESİ,Devlet,İstanbul,http://www.istanbul.edu.tr,assets/img/logo/115373.png,"İSTANBUL ÜNİVERSİTESİ REKTÖRLÜK
İSTANBUL UNIVERSITY RECTORATE
İstanbul Üniversitesi, Beyazıt Yerleşkesi
34452 Beyazıt, İstanbul – Türkiye"
İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,Devlet,İstanbul,https://iuc.edu.tr,assets/img/logo/339984.png,İstanbul Üniversitesi-Cerrahpaşa Rektörlüğü 34320 Avcılar/İstanbul
İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,Vakıf,İstanbul,https://www.yeniyuzyil.edu.tr,assets/img/logo/315415.png,"T.C. İstanbul Yeni Yüzyıl Üniversitesi
Topkapı Dr. Azmi  Ofluoğlu Yerleşkesi
Maltepe Mahallesi, Yılanlı Ayazma Caddesi No:26, 34010 Cevizlibağ- Zeytinburnu / İSTANBUL"
İSTİNYE ÜNİVERSİTESİ,Vakıf,İstanbul,https://www.istinye.edu.tr,assets/img/logo/274888.png,"İstinye Üniversitesi Topkapı Kampüsü, Maltepe Mah., Teyyareci Sami Sokak, No.3 Zeytinburnu, İstanbul, 34010"
İZMİR BAKIRÇAY ÜNİVERSİTESİ,Devlet,İzmir,https://bakircay.edu.tr,assets/img/logo/302686.png,Seyrek Kampüsü/ Gazi Mustafa Kemal Mah.Kaynaklar Cad./ Seyrek/Menemen/İZMİR
İZMİR DEMOKRASİ ÜNİVERSİTESİ,Devlet,İzmir,http://www.idu.edu.tr,assets/img/logo/302685.png,"Üçkuyular Mahallesi, Gürsel Aksel Bulvarı, No:14 35140 Karabağlar/İZMİR"
İZMİR EKONOMİ ÜNİVERSİTESİ,Vakıf,İzmir,https://www.ieu.edu.tr,assets/img/logo/116147.png,SAKARYA CAD. NO:156 BALÇOVA/İZMİR
İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,Devlet,İzmir,http://www.ikc.edu.tr/,assets/img/logo/173498.png,"İzmir Kâtip Çelebi Üniversitesi Çiğli Ana Yerleşkesi
35620 İZMİR"
İZMİR KAVRAM MESLEK YÜKSEKOKULU,Vakıf,İzmir,https://www.kavram.edu.tr,assets/img/logo/334490.png,Oğuzlar Mah. 1251/2 Sok. No:8 Konak/İzmir
İZMİR TINAZTEPE ÜNİVERSİTESİ,Vakıf,İzmir,https://www.tinaztepe.edu.tr,assets/img/logo/339996.png,"Aydoğdu Mahallesi, 1267/1 Sk., No.4 35400 Buca/İzmir"
